Expression,Type,Symbolic_Retrieval
∃ hasChild.{markus ⊔ michelle ⊔ anna},OWLObjectSomeValuesFrom,"{'http://example.com/father#markus', 'http://example.com/father#stefan'}"
(¬person) ⊔ (¬person),OWLObjectUnionOf,set()
∃ hasChild.{markus ⊔ anna ⊔ heinz},OWLObjectSomeValuesFrom,"{'http://example.com/father#markus', 'http://example.com/father#martin', 'http://example.com/father#stefan', 'http://example.com/father#anna'}"
person ⊔ (¬person),OWLObjectUnionOf,"{'http://example.com/father#markus', 'http://example.com/father#anna', 'http://example.com/father#martin', 'http://example.com/father#stefan', 'http://example.com/father#michelle', 'http://example.com/father#heinz'}"
∃ hasChild⁻.{martin ⊔ michelle ⊔ heinz},OWLObjectSomeValuesFrom,{'http://example.com/father#heinz'}
person ⊓ (¬person),OWLObjectIntersectionOf,set()
∃ hasChild.{markus ⊔ michelle ⊔ heinz},OWLObjectSomeValuesFrom,"{'http://example.com/father#anna', 'http://example.com/father#martin', 'http://example.com/father#stefan'}"
∃ hasChild.{stefan ⊔ martin ⊔ markus},OWLObjectSomeValuesFrom,{'http://example.com/father#stefan'}
∃ hasChild.{markus ⊔ martin ⊔ michelle},OWLObjectSomeValuesFrom,{'http://example.com/father#stefan'}
(¬person) ⊓ (¬person),OWLObjectIntersectionOf,set()
∃ hasChild.{martin ⊔ michelle ⊔ heinz},OWLObjectSomeValuesFrom,"{'http://example.com/father#anna', 'http://example.com/father#martin'}"
≥ 1 hasChild.person,OWLObjectMinCardinality,"{'http://example.com/father#markus', 'http://example.com/father#martin', 'http://example.com/father#stefan', 'http://example.com/father#anna'}"
∃ hasChild.{stefan ⊔ martin ⊔ michelle},OWLObjectSomeValuesFrom,set()
∃ hasChild.{martin ⊔ markus ⊔ heinz},OWLObjectSomeValuesFrom,"{'http://example.com/father#anna', 'http://example.com/father#martin', 'http://example.com/father#stefan'}"
≤ 1 hasChild⁻.person,OWLObjectMaxCardinality,"{'http://example.com/father#markus', 'http://example.com/father#anna', 'http://example.com/father#martin', 'http://example.com/father#stefan', 'http://example.com/father#michelle'}"
∃ hasChild.{stefan ⊔ anna ⊔ heinz},OWLObjectSomeValuesFrom,"{'http://example.com/father#markus', 'http://example.com/father#martin', 'http://example.com/father#anna'}"
≥ 1 hasChild⁻.(¬person),OWLObjectMinCardinality,set()
∃ hasChild⁻.{markus ⊔ michelle ⊔ anna},OWLObjectSomeValuesFrom,"{'http://example.com/father#anna', 'http://example.com/father#heinz'}"
∃ hasChild⁻.{stefan ⊔ anna ⊔ heinz},OWLObjectSomeValuesFrom,"{'http://example.com/father#markus', 'http://example.com/father#heinz'}"
≥ 1 hasChild⁻.(¬person),OWLObjectMinCardinality,set()
∃ hasChild.{stefan ⊔ markus ⊔ heinz},OWLObjectSomeValuesFrom,"{'http://example.com/father#anna', 'http://example.com/father#martin', 'http://example.com/father#stefan'}"
≥ 1 hasChild.(¬person),OWLObjectMinCardinality,set()
≤ 3 hasChild.(¬person),OWLObjectMaxCardinality,"{'http://example.com/father#markus', 'http://example.com/father#anna', 'http://example.com/father#martin', 'http://example.com/father#stefan', 'http://example.com/father#michelle', 'http://example.com/father#heinz'}"
≥ 3 hasChild⁻.person,OWLObjectMinCardinality,set()
∃ hasChild⁻.person,OWLObjectSomeValuesFrom,"{'http://example.com/father#markus', 'http://example.com/father#heinz', 'http://example.com/father#anna'}"
≤ 3 hasChild⁻.(¬person),OWLObjectMaxCardinality,"{'http://example.com/father#markus', 'http://example.com/father#anna', 'http://example.com/father#martin', 'http://example.com/father#stefan', 'http://example.com/father#michelle', 'http://example.com/father#heinz'}"
∃ hasChild⁻.{markus ⊔ michelle ⊔ heinz},OWLObjectSomeValuesFrom,{'http://example.com/father#anna'}
∃ hasChild.(¬person),OWLObjectSomeValuesFrom,set()
∃ hasChild.{martin ⊔ anna ⊔ heinz},OWLObjectSomeValuesFrom,"{'http://example.com/father#markus', 'http://example.com/father#martin', 'http://example.com/father#anna'}"
≥ 1 hasChild.person,OWLObjectMinCardinality,"{'http://example.com/father#markus', 'http://example.com/father#martin', 'http://example.com/father#stefan', 'http://example.com/father#anna'}"
∃ hasChild.{martin ⊔ markus ⊔ anna},OWLObjectSomeValuesFrom,"{'http://example.com/father#markus', 'http://example.com/father#stefan'}"
